fold_id,allocation_rule,observations,start_session,end_session,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,historical_var_95,historical_es_95,allocation_turnover,allocation_cost
wf_2022,equal_weight,251,2022-01-03,2022-12-30,-0.098425425762163621,-0.098797517926311973,0.16504255294470035,-0.54799989970700258,-0.25006725547212505,0.017305125288909623,0.022732485570109685,0.99999999999999989,9.9999999999999991e-05
wf_2022,inverse_volatility,251,2022-01-03,2022-12-30,-0.094966431049049005,-0.095326149123207027,0.16354575571478186,-0.53102582425685629,-0.2472301565422117,0.017483145983424951,0.022505814740341499,0.99999999999999989,9.9999999999999991e-05
wf_2022,constrained_minimum_variance,251,2022-01-03,2022-12-30,-0.088421540395149933,-0.088757700533475536,0.16374959853053256,-0.48599811161385653,-0.24218978516885947,0.017911506210372633,0.022560039358919464,1,0.0001
wf_2023,equal_weight,250,2023-01-03,2023-12-29,-0.010237430353913779,-0.010318905785240085,0.090471025413200262,-0.06957591608336719,-0.097100940330228869,0.0093248580955815133,0.01302302661207947,0,0
wf_2023,inverse_volatility,250,2023-01-03,2023-12-29,-0.0077222639112465297,-0.0077838009644904949,0.088188093142803209,-0.044675668115814818,-0.094477931072794119,0.0090684188073202245,0.012801411297639233,0.03961514840325181,3.9615148403251808e-06
wf_2023,constrained_minimum_variance,250,2023-01-03,2023-12-29,-0.0017913479142144251,-0.0018056657514623486,0.08332935391842558,0.01982916681031556,-0.085466699155376968,0.0085560718905929242,0.012545162313867415,0.37316662075111162,3.7316662075111166e-05
wf_2024,equal_weight,252,2024-01-02,2024-12-31,-0.0023440390662551325,-0.0023440390662551325,0.079896548221991479,0.010371140177015211,-0.072111613226010451,0.007374006579910144,0.01043560796360132,0,0
wf_2024,inverse_volatility,252,2024-01-02,2024-12-31,-0.0097484088512145295,-0.0097484088512145295,0.077550689331591469,-0.087717761561600605,-0.072060677647560745,0.0071356259411553486,0.010315147096013909,0.01274599760066375,1.274599760066375e-06
wf_2024,constrained_minimum_variance,252,2024-01-02,2024-12-31,-0.021549289325564769,-0.021549289325564769,0.070934067774955131,-0.27176768628969206,-0.073386126143121899,0.0062902283864399383,0.0096472472457901238,0.095828733250707815,9.5828733250707813e-06
wf_2025,equal_weight,250,2025-01-02,2025-12-31,-0.20950155386800851,-0.21098687296626673,0.13901912105332059,-1.6329719653255317,-0.21701240405908584,0.01143087316036037,0.023268391810841955,0,0
wf_2025,inverse_volatility,250,2025-01-02,2025-12-31,-0.20697392811885262,-0.20844378103510885,0.14033016539145551,-1.5933780811787059,-0.21512604807250391,0.011263889618527563,0.023006892066746418,0.010272306504605366,1.0272306504605368e-06
wf_2025,constrained_minimum_variance,250,2025-01-02,2025-12-31,-0.19812247366047586,-0.19953765597602713,0.13798255276071655,-1.5418544440724684,-0.20596002935639068,0.0098902075258184459,0.022358548646281583,0.081341875696381932,8.1341875696381937e-06
