fold_id,allocation_rule,sleeve_id,sleeve_order,training_sessions,weight,weight_sum,maximum_weight,gross_weight,constraint_valid
wf_2022,equal_weight,trend_ratio_spy,1,505,0.16666666666666666,0.99999999999999989,0.16666666666666666,0.99999999999999989,True
wf_2022,equal_weight,trend_ratio_qqq,2,505,0.16666666666666666,0.99999999999999989,0.16666666666666666,0.99999999999999989,True
wf_2022,equal_weight,trend_ratio_iwm,3,505,0.16666666666666666,0.99999999999999989,0.16666666666666666,0.99999999999999989,True
wf_2022,equal_weight,ema_macd_spy,4,505,0.16666666666666666,0.99999999999999989,0.16666666666666666,0.99999999999999989,True
wf_2022,equal_weight,ema_macd_qqq,5,505,0.16666666666666666,0.99999999999999989,0.16666666666666666,0.99999999999999989,True
wf_2022,equal_weight,ema_macd_iwm,6,505,0.16666666666666666,0.99999999999999989,0.16666666666666666,0.99999999999999989,True
wf_2022,inverse_volatility,trend_ratio_spy,1,505,0.18527353887772441,0.99999999999999989,0.18527353887772441,0.99999999999999989,True
wf_2022,inverse_volatility,trend_ratio_qqq,2,505,0.16946805826749856,0.99999999999999989,0.18527353887772441,0.99999999999999989,True
wf_2022,inverse_volatility,trend_ratio_iwm,3,505,0.13081394548703026,0.99999999999999989,0.18527353887772441,0.99999999999999989,True
wf_2022,inverse_volatility,ema_macd_spy,4,505,0.18095751385755532,0.99999999999999989,0.18527353887772441,0.99999999999999989,True
wf_2022,inverse_volatility,ema_macd_qqq,5,505,0.17795818317890852,0.99999999999999989,0.18527353887772441,0.99999999999999989,True
wf_2022,inverse_volatility,ema_macd_iwm,6,505,0.15552876033128285,0.99999999999999989,0.18527353887772441,0.99999999999999989,True
wf_2022,constrained_minimum_variance,trend_ratio_spy,1,505,0.20870655856542417,1,0.20870655856542417,1,True
wf_2022,constrained_minimum_variance,trend_ratio_qqq,2,505,0.19147352454465541,1,0.20870655856542417,1,True
wf_2022,constrained_minimum_variance,trend_ratio_iwm,3,505,0.089826119314920558,1,0.20870655856542417,1,True
wf_2022,constrained_minimum_variance,ema_macd_spy,4,505,0.18398955538478873,1,0.20870655856542417,1,True
wf_2022,constrained_minimum_variance,ema_macd_qqq,5,505,0.16644242768860451,1,0.20870655856542417,1,True
wf_2022,constrained_minimum_variance,ema_macd_iwm,6,505,0.15956181450160661,1,0.20870655856542417,1,True
wf_2023,equal_weight,trend_ratio_spy,1,756,0.16666666666666666,0.99999999999999989,0.16666666666666666,0.99999999999999989,True
wf_2023,equal_weight,trend_ratio_qqq,2,756,0.16666666666666666,0.99999999999999989,0.16666666666666666,0.99999999999999989,True
