allocation_rule,observations,start_session,end_session,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,historical_var_95,historical_es_95,total_allocation_turnover,total_allocation_cost
equal_weight,1003,2022-01-03,2025-12-31,-0.29625632649688027,-0.08448921554903599,0.12355269928921452,-0.65217479383216825,-0.38607858705075593,0.011238278173145235,0.019197658800394056,0.99999999999999989,9.9999999999999991e-05
inverse_volatility,1003,2022-01-03,2025-12-31,-0.29476972212369346,-0.084003702616126885,0.12262880639026988,-0.65365634141886375,-0.38253799517959186,0.011407415749393813,0.019018896579101375,1.0626334525085208,0.00010626334525085209
constrained_minimum_variance,1003,2022-01-03,2025-12-31,-0.2860589079848368,-0.081174118526620154,0.12014603572795068,-0.64400853843004147,-0.3732950494135886,0.010910257119209565,0.018810994365019477,1.5503372296982014,0.00015503372296982014
