fold_id,allocation_rule,training_sessions,test_sessions,covariance_estimator,shrinkage_coefficient,solver_status,allocation_turnover,allocation_cost,weight_sum,minimum_weight,maximum_weight,gross_weight,herfindahl_concentration,effective_sleeve_count,constraint_valid
wf_2022,equal_weight,505,251,not_applicable,,not_applicable,0.99999999999999989,9.9999999999999991e-05,0.99999999999999989,0.16666666666666666,0.16666666666666666,0.99999999999999989,0.16666666666666666,6,True
wf_2022,inverse_volatility,505,251,not_applicable,,not_applicable,0.99999999999999989,9.9999999999999991e-05,0.99999999999999989,0.13081394548703026,0.18527353887772441,0.99999999999999989,0.16876192738714657,5.9255071062678741,True
wf_2022,constrained_minimum_variance,505,251,LedoitWolf(assume_centered=False),0.21583823917116157,success,1,0.0001,1,0.089826119314920558,0.20870655856542417,1,0.17530448077356764,5.7043607532864602,True
wf_2023,equal_weight,756,250,not_applicable,,not_applicable,0,0,0.99999999999999989,0.16666666666666666,0.16666666666666666,0.99999999999999989,0.16666666666666666,6,True
wf_2023,inverse_volatility,756,250,not_applicable,,not_applicable,0.03961514840325181,3.9615148403251808e-06,1,0.13506210680467398,0.19110713330227347,1,0.16886001395717376,5.9220651269969675,True
wf_2023,constrained_minimum_variance,756,250,LedoitWolf(assume_centered=False),0.09403129403021827,success,0.37316662075111162,3.7316662075111166e-05,1.0000000000000002,0.056929903030670075,0.33221274408540552,1.0000000000000002,0.22242548048839522,4.4958877814008984,True
wf_2024,equal_weight,1006,252,not_applicable,,not_applicable,0,0,0.99999999999999989,0.16666666666666666,0.16666666666666666,0.99999999999999989,0.16666666666666666,6,True
wf_2024,inverse_volatility,1006,252,not_applicable,,not_applicable,0.01274599760066375,1.274599760066375e-06,0.99999999999999978,0.13246641548656363,0.19645543466514581,0.99999999999999978,0.169446860793801,5.9015551855923416,True
wf_2024,constrained_minimum_variance,1006,252,LedoitWolf(assume_centered=False),0.08074981026605353,success,0.095828733250707815,9.5828733250707813e-06,1,0.047552086978837164,0.34473393751201009,1,0.23945324932124876,4.1761805397696117,True
wf_2025,equal_weight,1258,250,not_applicable,,not_applicable,0,0,0.99999999999999989,0.16666666666666666,0.16666666666666666,0.99999999999999989,0.16666666666666666,6,True
wf_2025,inverse_volatility,1258,250,not_applicable,,not_applicable,0.010272306504605366,1.0272306504605368e-06,1,0.13106023352521443,0.20032284285773019,1,0.16990036885795351,5.8858024071510853,True
wf_2025,constrained_minimum_variance,1258,250,LedoitWolf(assume_centered=False),0.06911748764661717,success,0.081341875696381932,8.1341875696381937e-06,1.0000000000000002,0.036819428065433021,0.34999999999999998,1.0000000000000002,0.25481066956574566,3.9244824469250976,True
