session_date,fold_id,equal_weight,inverse_volatility,constrained_minimum_variance
2022-01-03,wf_2022,-0.0010656921465286404,-0.00099032414243197518,-0.00092736981976515446
2022-01-04,wf_2022,-0.0055527827143134383,-0.0051460157846299924,-0.0054807175263311475
2022-01-05,wf_2022,0.020562127611350713,0.019753151950529464,0.019683779072319659
2022-01-06,wf_2022,-0.006381786711419442,-0.0060359838963985092,-0.0055279572791070986
2022-01-07,wf_2022,-0.0029081278093308995,-0.0029251594783538549,-0.0028016333708561041
2022-01-10,wf_2022,0.012630253938172667,0.012690424689283029,0.012635092096541737
2022-01-11,wf_2022,0.009333624624691006,0.0092075623178777058,0.0092194967940874145
2022-01-12,wf_2022,-0.0056445676358637398,-0.0055021983612622543,-0.004837934945263243
2022-01-13,wf_2022,0.0046041506868770097,0.0048828280356795779,0.0053860367426753486
2022-01-14,wf_2022,0.0029450710375846234,0.0028111556766378405,0.0028824546779982691
2022-01-18,wf_2022,-0.0034623437173261582,-0.0038662378206617376,-0.0037878803667874454
2022-01-19,wf_2022,-0.0035878220599487305,-0.0043783836592493301,-0.0049155735375198554
2022-01-20,wf_2022,0.0045904898068577591,0.0048667247287022507,0.0051992578275998087
2022-01-21,wf_2022,0.0050629477231057627,0.0050801795099642381,0.0053835451028774817
2022-01-24,wf_2022,0.029144513544905916,0.029010599390303274,0.028186885193328789
2022-01-25,wf_2022,-0.026402635606936099,-0.026272016032096376,-0.02617704153965706
2022-01-26,wf_2022,0.0065249046572079528,0.0065436853066673899,0.0061167085789167836
2022-01-27,wf_2022,0.0049516246990159258,0.0037830035840280972,0.0031844689274004054
2022-01-28,wf_2022,-0.0045392480387076058,-0.0036802371575571213,-0.0030759706308392822
2022-01-31,wf_2022,0.017207725203559177,0.016580487984963109,0.0164100520411209
2022-02-01,wf_2022,-8.3099339744393316e-05,-0.00040394954627915518,-0.00054123526755165828
2022-02-02,wf_2022,-0.0035158301050274465,-0.0028265785811848708,-0.0014513037488172356
2022-02-03,wf_2022,-0.00043077545557044595,-0.00056037381162765427,-0.0012360939219897577
2022-02-04,wf_2022,-0.0052310949489342562,-0.0052357541685424886,-0.005445535194691405
2022-02-07,wf_2022,-0.005744418381462316,-0.0062706161781865347,-0.0069376081217821153
2022-02-08,wf_2022,-0.00090180364242816347,-0.0016602816152874503,-0.0025973195659086692
2022-02-09,wf_2022,0.0074060105196016024,0.0069920511198243232,0.0070307323782700416
2022-02-10,wf_2022,0.0033799181497818354,0.0037586244039992641,0.0042419200357068209
2022-02-11,wf_2022,0.011506821459827621,0.012042442669284682,0.012523769505965756
2022-02-14,wf_2022,-0.0095642214623043818,-0.0094525720217824086,-0.0093130343958397269
2022-02-15,wf_2022,0.00044653023928944063,0.00084087980005304519,0.00064205685458460307
2022-02-16,wf_2022,-0.00994742155693586,-0.0095944633150253679,-0.0098820549529720098
2022-02-17,wf_2022,-0.0069319213516875755,-0.0067034327777860817,-0.0064663346211174377
2022-02-18,wf_2022,0.0030361502626687171,0.0028777409127147863,0.0026852568058317221
2022-02-22,wf_2022,0.00074434497107236063,0.0004787093171030217,0.00029537967668743711
2022-02-23,wf_2022,0.0055999081994584921,0.005608070087448431,0.0057076539802297047
2022-02-24,wf_2022,0.019955676777392219,0.020375548543531158,0.02021681859419398
2022-02-25,wf_2022,0.013925307662632631,0.013695163069772445,0.013675721050214373
2022-02-28,wf_2022,-0.0079359500549519013,-0.0079682569094610151,-0.0083221934358185951
2022-03-01,wf_2022,0.0021661505485886341,0.001678365932325026,0.0010938252269894662
2022-03-02,wf_2022,0.001290898454557839,0.0015552156696701366,0.0016571405778422728
2022-03-03,wf_2022,-0.0081419336432240943,-0.0079192725947491074,-0.0076563973404674586
2022-03-04,wf_2022,0.007631873710776893,0.0073697190765931765,0.0072205092296427527
2022-03-07,wf_2022,0.014122076151870867,0.013946510018094629,0.014443265492798252
2022-03-08,wf_2022,-0.021745163202055974,-0.02131781089831563,-0.02112355612707327
2022-03-09,wf_2022,-0.0035277030112894252,-0.0049123990072652635,-0.0060791050963042948
2022-03-10,wf_2022,-0.0043166014717328678,-0.0041220036005329488,-0.004278182554768706
2022-03-11,wf_2022,-0.00064062416412669076,-0.00046411075999007462,-0.00030663154732433643
2022-03-14,wf_2022,0.010395525846250475,0.0097504545034340692,0.0095431220571102725
2022-03-15,wf_2022,0.0027514765874182556,0.0032396819480780392,0.0031013530779716286
2022-03-16,wf_2022,0.020278340507139947,0.019557378585877611,0.019207217253402215
2022-03-17,wf_2022,0.0066794417924387695,0.0063126760024485341,0.0063318838100249889
2022-03-18,wf_2022,0.0047285968883939242,0.0047366828086336634,0.0050677698353610509
2022-03-21,wf_2022,-0.011910208706607934,-0.011827724930452555,-0.011789142078755057
2022-03-22,wf_2022,-0.0027947678459381469,-0.0022038123574072608,-0.001700845248979574
2022-03-23,wf_2022,-0.0041217386543141252,-0.0039417704726666504,-0.0037232180482244248
2022-03-24,wf_2022,-0.0017785872056369132,-0.0018809336723164987,-0.0019631670352484539
2022-03-25,wf_2022,-0.0049713983742505534,-0.0048569293452325581,-0.0048497304607258585
2022-03-28,wf_2022,0.0018482230058030629,0.0019280674494600216,0.002714654641588537
2022-03-29,wf_2022,0.0098212359203048525,0.0097928028972039949,0.010107933337851097
2022-03-30,wf_2022,0.001988588735133634,0.0014152812364976652,0.00086986282135825929
2022-03-31,wf_2022,0.0068845086371778583,0.0068418691143191969,0.0070258701385514516
