configuration_id,series,test_sessions,start_session,end_session,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,turnover
ou_vwap_fast,SPY,1003,2022-01-03,2025-12-31,-0.126555353377,-0.0334248828118,0.0540857268647,-0.60177017013,-0.152523791994,493
ou_vwap_fast,QQQ,1003,2022-01-03,2025-12-31,-0.183281315758,-0.0495953726539,0.071197013542,-0.679387289876,-0.226100937477,494
ou_vwap_fast,IWM,1003,2022-01-03,2025-12-31,-0.00179986848606,-0.00045251526032,0.0733395334134,0.0298640773029,-0.105957200668,508
ou_vwap_fast,equal_weight,1003,2022-01-03,2025-12-31,-0.10510158921,-0.0275140586911,0.0581138202859,-0.451569610878,-0.133636694728,498.333333333
ou_vwap_base,SPY,1003,2022-01-03,2025-12-31,-0.120054346223,-0.0316223886114,0.0368289617709,-0.853922949403,-0.142045113086,262
ou_vwap_base,QQQ,1003,2022-01-03,2025-12-31,-0.0159343240739,-0.00402754592196,0.0552155611221,-0.045906666221,-0.078350842413,262
ou_vwap_base,IWM,1003,2022-01-03,2025-12-31,0.00454809004495,0.00114075010267,0.0604827251176,0.0483675898056,-0.0675261918986,244
ou_vwap_base,equal_weight,1003,2022-01-03,2025-12-31,-0.0435963182275,-0.0111368715136,0.0413195617993,-0.250554886534,-0.0836023667125,256
ou_vwap_slow,SPY,1003,2022-01-03,2025-12-31,0.00352193259247,0.000883708054739,0.0174404525353,0.0593101491361,-0.0298951249833,50
ou_vwap_slow,QQQ,1003,2022-01-03,2025-12-31,0.0829260797882,0.0202176258279,0.0359437924358,0.574562361197,-0.0208866866786,72
ou_vwap_slow,IWM,1003,2022-01-03,2025-12-31,0.094691947095,0.0229913201133,0.0339133067145,0.687148342784,-0.0418628774293,94
ou_vwap_slow,equal_weight,1003,2022-01-03,2025-12-31,0.0603485555378,0.0148313570798,0.0234846347783,0.638570978075,-0.0194828184378,72
