configuration_id,series,cost_bps_per_turnover,test_sessions,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown
ou_vwap_fast,SPY,0,1003,-0.0824117190077,-0.0213770100412,0.0540916324949,-0.37272441272,-0.120574181723
ou_vwap_fast,SPY,1,1003,-0.126555353377,-0.0334248828118,0.0540857268647,-0.60177017013,-0.152523791994
ou_vwap_fast,SPY,2,1003,-0.16857941149,-0.0453256164837,0.0541212355323,-0.830200450093,-0.184965260798
ou_vwap_fast,SPY,5,1003,-0.282925823562,-0.0801627014849,0.054474732711,-1.50665665653,-0.289443455252
ou_vwap_fast,QQQ,0,1003,-0.141915979927,-0.0377240883958,0.0712395921655,-0.50473635661,-0.197564804698
ou_vwap_fast,QQQ,1,1003,-0.183281315758,-0.0495953726539,0.071197013542,-0.679387289876,-0.226100937477
ou_vwap_fast,QQQ,2,1003,-0.222656409928,-0.0613213702644,0.0711844210493,-0.853866332729,-0.253624974313
ou_vwap_fast,QQQ,5,1003,-0.329773289756,-0.0956451754913,0.0713263880893,-1.37407614811,-0.345349884815
ou_vwap_fast,IWM,0,1003,0.0502192620975,0.0123868962601,0.0734262545269,0.203730776059,-0.097149654059
ou_vwap_fast,IWM,1,1003,-0.00179986848606,-0.00045251526032,0.0733395334134,0.0298640773029,-0.105957200668
ou_vwap_fast,IWM,2,1003,-0.0512472241144,-0.013130353025,0.0732828038211,-0.144333777219,-0.114679695572
ou_vwap_fast,IWM,5,1003,-0.185396772057,-0.0502144733433,0.0732929301678,-0.666776119311,-0.183665069754
ou_vwap_fast,equal_weight,0,1003,-0.0593651347188,-0.0152587200522,0.0581310676124,-0.236014338078,-0.100489898139
ou_vwap_fast,equal_weight,1,1003,-0.10510158921,-0.0275140586911,0.0581138202859,-0.451569610878,-0.133636694728
ou_vwap_fast,equal_weight,2,1003,-0.148615429439,-0.0396172246757,0.0581189508032,-0.666969132104,-0.165562850454
ou_vwap_fast,equal_weight,5,1003,-0.266874825256,-0.0750324222525,0.0582683161437,-1.30976030634,-0.26931132568
ou_vwap_base,SPY,0,1003,-0.0966927128205,-0.025226221831,0.036796258608,-0.675827380423,-0.121291371634
ou_vwap_base,SPY,1,1003,-0.120054346223,-0.0316223886114,0.0368289617709,-0.853922949403,-0.142045113086
ou_vwap_base,SPY,2,1003,-0.142814039807,-0.0379772191644,0.0368914844355,-1.030851958,-0.162310685794
ou_vwap_base,SPY,5,1003,-0.207634033798,-0.0567963157026,0.0372559865867,-1.55056072595,-0.22029141948
ou_vwap_base,QQQ,0,1003,0.0101903723212,0.00255058294482,0.0552788344541,0.0732875244957,-0.0705636299913
ou_vwap_base,QQQ,1,1003,-0.0159343240739,-0.00402754592196,0.0552155611221,-0.045906666221,-0.078350842413
ou_vwap_base,QQQ,2,1003,-0.0413859175927,-0.0105631645501,0.0551700214833,-0.165312250702,-0.094073845121
ou_vwap_base,QQQ,5,1003,-0.113872660558,-0.0299176555982,0.055140105212,-0.523645640717,-0.139832021587
ou_vwap_base,IWM,0,1003,0.0293619665996,0.00729735270497,0.0605805490754,0.149577973357,-0.0591997333577
ou_vwap_base,IWM,1,1003,0.00454809004495,0.00114075010267,0.0604827251176,0.0483675898056,-0.0675261918986
ou_vwap_base,IWM,2,1003,-0.0196700138884,-0.00497883346247,0.0604016636263,-0.0531467928791,-0.0825328621765
ou_vwap_base,IWM,5,1003,-0.0888904698385,-0.0231176528017,0.0602595975447,-0.358673278277,-0.132679883668
ou_vwap_base,equal_weight,0,1003,-0.0187863386385,-0.0047535621837,0.0413291473638,-0.0948092337131,-0.0660498004271
ou_vwap_base,equal_weight,1,1003,-0.0435963182275,-0.0111368715136,0.0413195617993,-0.250554886534,-0.0836023667125
ou_vwap_base,equal_weight,2,1003,-0.0677797698653,-0.0174794493614,0.0413245748513,-0.406215867708,-0.100825578839
ou_vwap_base,equal_weight,5,1003,-0.136726994268,-0.036265371499,0.0414270260008,-0.871050158798,-0.150580216019
ou_vwap_slow,SPY,0,1003,0.00855182491984,0.00214176911502,0.017501035206,0.130939203727,-0.0283416335074
ou_vwap_slow,SPY,1,1003,0.00352193259247,0.000883708054739,0.0174404525353,0.0593101491361,-0.0298951249833
ou_vwap_slow,SPY,2,1003,-0.00148337369616,-0.00037289924542,0.0173909091197,-0.0128057943371,-0.031446287731
ou_vwap_slow,SPY,5,1003,-0.0163529509252,-0.00413401392548,0.0173093311191,-0.230716713154,-0.0402027394604
ou_vwap_slow,QQQ,0,1003,0.0907526060126,0.0220651534463,0.0360701396356,0.622833135905,-0.0206908994543
ou_vwap_slow,QQQ,1,1003,0.0829260797882,0.0202176258279,0.0359437924358,0.574562361197,-0.0208866866786
ou_vwap_slow,QQQ,2,1003,0.0751549371366,0.0183732535754,0.0358258338003,0.525831966594,-0.0210824543298
ou_vwap_slow,QQQ,5,1003,0.0521699595469,0.0128590183099,0.0355230648726,0.377177523941,-0.0216696398439
ou_vwap_slow,IWM,0,1003,0.105034023644,0.0254109950691,0.034051205543,0.753884957705,-0.0385966924064
ou_vwap_slow,IWM,1,1003,0.094691947095,0.0229913201133,0.0339133067145,0.687148342784,-0.0418628774293
ou_vwap_slow,IWM,2,1003,0.0844456424616,0.0205771136763,0.0337855716462,0.619684634289,-0.0475049908901
