configuration_id,fold_id,series,test_sessions,start_session,end_session,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,turnover
ou_vwap_slow,wf_2022,QQQ,251,2022-01-03,2022-12-30,0.0319206350216,0.032049825429,0.0439487439,0.739406280226,-0.0184472429011,10
ou_vwap_slow,wf_2022,IWM,251,2022-01-03,2022-12-30,0.0862663734955,0.0866245389398,0.0420613337848,1.99609804054,-0.00144803363163,12
ou_vwap_slow,wf_2022,equal_weight,251,2022-01-03,2022-12-30,0.0483071523181,0.048504205082,0.0346102507982,1.3856401498,-0.00918611456097,9.33333333333
ou_vwap_slow,wf_2023,SPY,250,2023-01-03,2023-12-29,-0.0103124691837,-0.0103945386762,0.00712571991663,-1.46277669266,-0.0111113297299,10
ou_vwap_slow,wf_2023,QQQ,250,2023-01-03,2023-12-29,-0.00254439796079,-0.00256472701948,0.0158623482941,-0.153996124793,-0.0132128419314,14
ou_vwap_slow,wf_2023,IWM,250,2023-01-03,2023-12-29,-0.0251216894623,-0.0253200969795,0.0120082356279,-2.12960896134,-0.0274026327461,26
ou_vwap_slow,wf_2023,equal_weight,250,2023-01-03,2023-12-29,-0.0126556124326,-0.0127562088291,0.00707868383718,-1.81007864678,-0.0130749245197,16.6666666667
ou_vwap_slow,wf_2024,SPY,252,2024-01-02,2024-12-31,0.00548651957617,0.00548651957617,0.00998525347012,0.552925302928,-0.00927471159569,16
ou_vwap_slow,wf_2024,QQQ,252,2024-01-02,2024-12-31,0.00493729052112,0.00493729052112,0.0144376345352,0.348307023734,-0.00788294918415,18
ou_vwap_slow,wf_2024,IWM,252,2024-01-02,2024-12-31,0.0046250743367,0.0046250743367,0.0306559994778,0.16577523318,-0.0334850014629,28
ou_vwap_slow,wf_2024,equal_weight,252,2024-01-02,2024-12-31,0.00514419497747,0.00514419497747,0.0126437329367,0.412110209188,-0.0124229463362,20.6666666667
ou_vwap_slow,wf_2025,SPY,250,2025-01-02,2025-12-31,-0.0183571727837,-0.0185026631154,0.0176275305447,-1.05058057729,-0.0208844203843,18
ou_vwap_slow,wf_2025,QQQ,250,2025-01-02,2025-12-31,0.0469356293555,0.0473198619787,0.0528338255763,0.901003165165,-0.0208866866786,30
ou_vwap_slow,wf_2025,IWM,250,2025-01-02,2025-12-31,0.0289663347769,0.0292014165549,0.0416489778651,0.71188628826,-0.0389840424135,28
ou_vwap_slow,wf_2025,equal_weight,250,2025-01-02,2025-12-31,0.019208576615,0.0193637235527,0.028241297262,0.693235849773,-0.0194828184378,25.3333333333
